HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7211.14.00","2","Other, of a thickness of <il>4.75 mm</il> or more","","Free","","20%","",""
"7211.14.00.30","3","Of high-strength steel","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"7211.14.00.45","4","Not in coils","[""kg""]","","","","",""
"7211.14.00.90","4","Other","[""kg""]","","","","",""
"7211.19","2","Other:","","","","","",""
"","3","Of a width of less than 300 mm:","","","","","",""
"7211.19.15.00","4","Of high-strength steel","[""kg""]","Free","","25%","",""
"","4","Other:","","","","","",""
"7211.19.20.00","5","Of a thickness exceeding 1.25 mm","[""kg""]","Free","","25%","",""
"7211.19.30.00","5","Other","[""kg""]","Free","","25%","",""
"","3","Other:","","","","","",""
"7211.19.45.00","4","Of high-strength steel","[""kg""]","Free","","20%","",""
"","4","Other:","","","","","",""
"7211.19.60.00","5","Pickled","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7211.19.75","5","Other","","Free","","20%","",""
"","6","In coils:","","","","","",""
"7211.19.75.30","7","With untrimmed edges","[""kg""]","","","","",""
"7211.19.75.60","7","Other","[""kg""]","","","","",""
"7211.19.75.90","6","Other","[""kg""]","","","","",""
"","1","Not further worked than cold-rolled (cold-reduced):","","","","","",""
"7211.23","2","Containing by weight less than 0.25 percent of carbon:","","","","","",""
"","3","Of a width of less than 300 mm:","","","","","",""
"","4","Of a thickness exceeding 1.25 mm:","","","","","",""
"7211.23.15.00","5","Of high-strength steel","[""kg""]","Free","","25%","",""
"7211.23.20.00","5","Other","[""kg""]","Free","","25%","",""
"7211.23.30.00","4","Of a thickness exceeding 0.25 mm but not exceeding 1.25 mm","[""kg""]","Free","","25%","",""
"7211.23.45.00","4","Of a thickness not exceeding 0.25 mm","[""kg""]","Free","","25%","",""
"7211.23.60","3","Other","","Free","","0.4¢/kg + 20%","",""
"7211.23.60.30","4","Of a thickness exceeding 1.25 mm","[""kg""]","","","","",""
"7211.23.60.60","4","Of a thickness exceeding 0.25 mm but not exceeding 1.25 mm","[""kg""]","","","","",""
"7211.23.60.90","4","Of a thickness not exceeding 0.25 mm:","[""kg""]","","","","",""
"7211.29","2","Other:","","","","","",""
"","3","Of a width of less than 300 mm:","","","","","",""
"7211.29.20","4","Of a thickness exceeding 0.25 mm","","Free","","25%","",""
"7211.29.20.30","5","Of a width less than 51 mm, in coils","[""kg""]","","","","",""
"7211.29.20.90","5","Other","[""kg""]","","","","",""
"7211.29.45.00","4","Other","[""kg""]","Free","","25%","",""
"7211.29.60","3","Other","","Free","","0.4¢/kg + 20%","",""
"7211.29.60.30","4","Of a thickness exceeding 1.25 mm","[""kg""]","","","","",""
"7211.29.60.80","4","Other","[""kg""]","","","","",""
"7211.90.00.00","1","Other","[""kg""]","Free","","20%","",""
"7212","0","Flat-rolled products of iron or nonalloy steel, of a width of less than <il>600 mm</il>, clad, plated or coated:","","","","","",""
"7212.10.00.00","1","Plated or coated with tin","[""kg""]","Free","","6%","",""
"7212.20.00.00","1","Electrolytically plated or coated with zinc","[""kg""]","Free","","21.5%","",""
"7212.30","1","Otherwise plated or coated with zinc:","","","","","",""
"","2","Of a width of less than 300 mm:","","","","","",""
"7212.30.10","3","Of a thickness exceeding 0.25 mm or more","","Free","","25%","",""
"7212.30.10.30","4","Of a width less than 51 mm, in coils","[""kg""]","","","","",""
"7212.30.10.90","4","Other","[""kg""]","","","","",""
"7212.30.30.00","3","Other","[""kg""]","Free","","25%","",""
"7212.30.50.00","2","Other","[""kg""]","Free","","21.5%","",""
"7212.40","1","Painted, varnished or coated with plastics:","","","","","",""
"7212.40.10.00","2","Of a width of less than 300 mm","[""kg""]","Free","","25%","",""
"7212.40.50.00","2","Other","[""kg""]","Free","","0.4¢/kg + 20%","",""
"7212.50.00.00","1","Otherwise plated or coated","[""kg""]","Free","","21.5%","",""
"7212.60.00.00","1","Clad","[""kg""]","Free","","30%","",""
"7213","0","Bars and rods, hot-rolled, in irregularly wound coils, of iron or nonalloy steel:","","","","","",""
"7213.10.00.00","1","Concrete reinforcing bars and rods","[""kg""]","Free","","20%","",""
"7213.20.00","1","Other, of free-cutting steel","","Free","","5.5%","",""
